column0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,label,writers,directors
6736,tt1603257,ATM,ATM,\N,2012,90,23492.0,false,"nm2133655,nm0864128",
6752,tt1613062,The Music Never Stopped,,2011,\N,105,8208.0,true,"nm0527095,nm0548830,nm0755312",
6759,tt1617620,Á Hớrriblé Wáy tớ Dié,,2010,\N,87,3634.0,false,nm1440023,
6771,tt1623757,Machete Maidens Unleashed!,,2010,\N,84,1657.0,true,"nm0366867,nm1441953",
6783,tt1638002,"Love, Rosie","Love, Rosie",2014,\N,102,132113.0,true,"nm1130708,nm1754499",
6786,tt1640218,Evidence,,2012,\N,78,4882.0,false,nm1726021,
6815,tt1656186,Stolen,Stolen,2012,\N,96,44481.0,false,nm1638756,
6819,tt1659343,Universal Soldier: Day of Reckoning,Universal Soldier: Day of Reckoning,2012,\N,114,20023.0,false,"nm0404882,nm1586036,nm0339040,nm0224537,nm0745330,nm0500609,nm0002041",
6835,tt1667076,F.A.L.T.U,,2011,\N,120,3036.0,false,"nm1687108,nm1571874,nm2022237,nm1190754,nm0759785,nm1343477,nm2858322",
6866,tt1691152,Dávid Lynch: Thé Árt Lifé,,2016,\N,88,,true,nm1805193,
6873,tt1697800,Die in a Gunfight,Die in a Gunfight,2021,\N,92,1824.0,false,"nm3029372,nm2592245",
6880,tt1703049,Trigun: Badlands Rumble,Trigun: Badlands Rumble,2010,\N,90,5211.0,true,"nm0631488,nm0632763,nm1639992",
6887,tt1707391,4:44 Last Day on Earth,,2011,\N,82,5330.0,false,nm0001206,
6899,tt1714917,Gimmé Dángér,,\N,2016,108,5525.0,true,nm0000464,
6901,tt1715320,Bending the Rules,,2012,\N,83,2250.0,false,nm4046433,
6912,tt1722450,Inadequate People,,2010,\N,102,4407.0,true,nm4069291,
6917,tt1725969,Ethel & Ernest,Ethel & Ernest,2016,\N,94,3220.0,true,"nm0109076,nm1137142",
6933,tt1734477,Públic Spéáking,Public Speaking,2010,\N,84,1993.0,true,\N,
6969,tt1774591,Teenage Cocktail,Teenage Cocktail,2016,\N,88,5364.0,false,"nm1878470,nm1898444,nm1032754,nm3155408",
6973,tt1778931,Manny,,\N,2014,88,2262.0,true,\N,
6980,tt1783423,Çakallarla Dans,Çakallarla Dans,2010,\N,102,6589.0,false,"nm11794028,nm2321439,nm2320363,nm4195211",
6981,tt1783721,First Time Loser,First Time Loser,2012,\N,90,1325.0,true,nm1643821,
6988,tt1787725,If a Tree Falls: A Story of the Earth Liberation Front,If a Tree Falls: A Story of the Earth Liberation Front,2011,\N,85,3187.0,true,"nm1903582,nm1510517",
6991,tt1789083,The Weight of Chains,,2010,\N,125,4331.0,true,nm3340250,
7029,tt1817771,Freaks of Nature,Freaks of Nature,2015,\N,92,,false,nm3349927,
7032,tt1821682,Traffic,,2011,\N,122,4633.0,true,"nm1547713,nm1332681",
7034,tt1823059,Á Pérféct Énding,,2012,\N,110,4204.0,false,nm0174903,
7047,tt1830713,Big Ass Spider!,,2013,\N,80,7147.0,false,nm0317367,
7048,tt1830786,Rascals,Rascals,2011,\N,128,,false,"nm0155027,nm1182352",
7049,tt1830802,Shala,,2011,\N,108,1859.0,true,"nm4308328,nm4308080",
7059,tt1839492,Ruby Sparks,Ruby Sparks,2012,\N,104,98774.0,true,nm1443740,
7069,tt1847713,The Guillotines,Xue di zi,2012,\N,112,1338.0,false,"nm0482673,nm4886061,nm1040327,nm1713457,nm2898643,nm2597943",
7074,tt1854506,Aliens vs. Avatars,,2011,\N,80,1665.0,false,"nm0150043,nm0827500,nm3117093,nm3233246",
7079,tt1855325,Résidént Évil: Rétribútiớn,Resident Evil: Retribution,\N,2012,95,138209.0,false,nm0027271,
7091,tt1863203,The Employer,,2013,\N,90,1312.0,false,nm3106201,
7112,tt1886493,Catch .44,Catch .44,2011,\N,94,17117.0,false,"nm1980747,nm2558161",
7123,tt1900908,Klip,Klip,2012,\N,102,6664.0,false,nm1481851,
7124,tt1901024,Dárk Crimés,True Crimes,2016,\N,92,21100.0,false,"nm2970418,nm0110591",
7141,tt1925479,Officer Down,Officer Down,2013,\N,98,,false,nm0153785,
7146,tt1928340,After the Dark,,2013,\N,107,22003.0,false,nm0399655,
7147,tt1930294,Bláck Rớck,Black Rock,2012,\N,83,9000.0,false,"nm0243233,nm1051221",
7188,tt1972646,Eames: The Architect & The Painter,Eames: The Architect & The Painter,2011,\N,85,1085.0,true,nm2912462,
7205,tt1993391,10 Rules for Sleeping Around,,2013,\N,94,2902.0,false,"nm0340037,nm1088854",
7206,tt1996226,Darling Nikki,Darling Nikki,2019,\N,62,,false,"nm3724977,nm0368693,nm3973908",
7213,tt2005363,Tekken: Blood Vengeance,,2011,\N,100,5438.0,false,nm0766199,
7245,tt2049543,Synchronicity,Synchronicity,2015,\N,101,10682.0,false,"nm1402180,nm1373794",
7251,tt2057931,Thé Fớstér Bớy,,2011,\N,107,1412.0,true,"nm4671860,nm4671393",
7272,tt2072933,Cớttágé Cớúntry,,2013,\N,91,4371.0,false,nm1667807,
7273,tt2073086,Still Mine,Still Mine,2012,\N,102,4268.0,true,"nm1313340,nm0683111",
7274,tt2076220,Holy Motors,Holy Motors,2012,\N,115,44730.0,true,nm0136021,
7323,tt2120057,Éxpirátiớn,,2011,\N,92,1986.0,false,"nm4851409,nm3598892",
7326,tt2124787,Finál Girl,Final Girl,2015,\N,84,15540.0,false,"nm5038047,nm2687643,nm0769181,nm0785162",
7335,tt2140465,Tanu Weds Manu Returns,,2015,\N,128,28091.0,true,nm2402576,
7343,tt2150209,My Grandfather's People,Dedemin Insanlari,2011,\N,126,,true,nm1463981,
7356,tt2171847,Dead Mine,Dead Mine,2012,\N,87,3059.0,false,"nm2723602,nm1377658",
7363,tt2178470,Yeh Jawaani Hai Deewani,,2013,\N,160,41872.0,true,"nm4990507,nm2209781",
7364,tt2178508,Son of Sardaar,,2012,\N,141,9401.0,false,"nm0080327,nm7248508,nm2903076",
7365,tt2179087,I Will Follow You Into the Dark,,2012,\N,112,1279.0,false,nm1429382,
7370,tt2180333,Crowsnest,Crowsnest,2012,\N,84,1623.0,false,nm0791949,
7371,tt2180351,Éáting Ánimáls,,\N,2017,94,1063.0,true,"nm1077724,nm1583636",
7385,tt2190483,Living,Zhit,2012,\N,119,1584.0,true,nm3384558,
7409,tt2210479,Berserk: The Golden Age Arc I - The Egg of the King,Berserk: Ougon Jidai-hen I - Haou no Tamago,2012,\N,76,,true,"nm1176135,nm1287521",
7426,tt2224902,Ságúni,Saguni,2012,\N,148,1063.0,false,nm5123449,
7449,tt2245195,The History of Future Folk,The History of Future Folk,2012,\N,86,3120.0,true,nm1006056,
7454,tt2250912,Spider-Man: Homecoming,,2017,\N,133,569366.0,true,"nm0326246,nm0197855,nm1218281,nm1755986,nm0571344,nm1273099,nm0498278,nm0228492,nm0800209,nm0456158",
7456,tt2252552,Gutshot Straight,,2014,\N,85,1621.0,false,nm0710850,
7457,tt2257602,The Staircase II: The Last Chance,,2013,\N,130,2213.0,true,nm0994355,
7459,tt2261749,Thé Gildéd Cágé,La cage dorée,2013,\N,90,10047.0,true,"nm0023517,nm6270798,nm1761153,nm0312315",
7463,tt2265381,Ishq,,2012,\N,160,1872.0,true,"nm1653460,nm3848973",
7473,tt2277834,Dárk Cớvé,Dark Cove,2016,\N,84,1145.0,false,"nm5166115,nm5155533",
7508,tt2312184,All About the Money,,2017,\N,90,4179.0,false,"nm3462228,nm8696513,nm8696514,nm8696515",
7558,tt2363047,22 Female Kottayam,22 Female Kottayam,2012,\N,120,2272.0,true,"nm5006589,nm4544331",
7566,tt2367066,Lord of Tears,,2013,\N,104,1486.0,false,nm3600165,
7576,tt2374002,Sweet Little Lies,Minte-mã frumos,2012,\N,98,1035.0,true,nm2939957,
7600,tt2393827,Howl,Howl,2015,\N,92,13080.0,false,"nm2037857,nm2041517",
7614,tt2401223,Richard Pryor: Omit the Logic,,2013,\N,83,1595.0,true,"nm1557894,nm1042563,nm0954912",
7622,tt2404425,Woman in Gold,Woman in Gold,2015,\N,109,56834.0,true,"nm0443252,nm2739175,nm2721839",
7626,tt2409302,Why Don't You Play in Hell?,Jigoku de naze warui,2013,\N,129,7872.0,true,nm0814469,
7641,tt2429144,Chambaili,Chambaili,2013,\N,133,1108.0,true,nm5653037,
7652,tt2446600,Next Goal Wins,,2014,\N,97,2556.0,true,\N,
7659,tt2464690,The Rack Pack,The Rack Pack,2016,\N,87,1198.0,true,"nm1746309,nm0175383,nm0701445",
7660,tt2465140,The Single Moms Club,The Single Moms Club,2014,\N,111,6224.0,false,nm1347153,
7664,tt2467442,K2: Siren of the Himalayas,K2: Siren of the Himalayas,2012,\N,75,1073.0,true,"nm3023670,nm5392926,nm3468931,nm3025186",
7669,tt2474932,Despite the Falling Snow,Despite the Falling Snow,2016,\N,93,2929.0,false,nm2328765,
7671,tt2475154,Elena,,2012,\N,80,,true,"nm3525467,nm2944207",
7677,tt2489734,The Trials of Muhammad Ali,,2013,\N,86,1130.0,true,\N,
7687,tt2509922,Where the Trail Ends,Where the Trail Ends,2012,\N,88,1297.0,true,\N,
7693,tt2518788,1,1,2013,\N,112,4089.0,true,nm0598531,
7702,tt2543472,Wớndér,,2017,\N,113,155151.0,true,"nm0154716,nm0175726,nm2113666,nm5383459",
7706,tt2548738,Rich Hill,Rich Hill,2014,\N,91,2337.0,true,\N,
7710,tt2556308,Holiday: A Soldier is Never Off Duty,Holiday,2014,\N,160,27439.0,true,"nm1436693,nm8722073",
7726,tt2578608,Krampus: The Christmas Devil,Krampus: The Christmas Devil,2013,\N,82,1789.0,false,nm2382124,
7729,tt2582502,Fathers & Daughters,Fathers & Daughters,2015,\N,116,25731.0,true,nm5428483,
7732,tt2584384,Jớjớ Rábbit,,2019,\N,108,348028.0,true,"nm9862836,nm0169806",
7734,tt2585562,Pizza,Pizza,2012,\N,127,7620.0,true,"nm6780137,nm5366274",
7737,tt2597892,Viral,,\N,2016,85,8754.0,false,"nm3011547,nm0484907",
7748,tt2621000,Jớlly LLB,Jolly LLB,2013,\N,135,,true,nm1378015,
7749,tt2622826,Avalanche Sharks,,2014,\N,82,2223.0,false,nm1433581,
7766,tt2674358,The Hunter's Prayer,The Hunter's Prayer,2017,\N,91,,false,"nm0104335,nm0274905,nm6873597",
7769,tt2689958,Big Sky,Big Sky,2015,\N,90,,false,nm3654489,
7771,tt2692904,Locke,Locke,2013,\N,85,144298.0,true,nm1140275,
7824,tt2836166,Punk's Dead: SLC Punk 2,,\N,2016,75,1029.0,false,nm0580669,
7829,tt2852406,Omar,,2013,\N,98,13941.0,true,nm0009463,
7845,tt2885628,Nina Forever,Nina Forever,2015,\N,98,4792.0,false,"nm2050760,nm2052113",
7856,tt2909124,Blood Widow,Blood Widow,2014,\N,84,1022.0,false,"nm5669078,nm5668880,nm5669436",
7875,tt2942016,Actor for Hire,Actor for Hire,2015,\N,90,1344.0,true,nm2826001,
7884,tt2955096,Happy Christmas,Happy Christmas,2014,\N,82,8132.0,false,nm1846132,
7902,tt2999718,Fiébré Sálsérá,Fiebre Salsera,2016,\N,\N,3495.0,true,"nm2622888,nm5748210,nm2621950",
7910,tt3029476,Pressure,,2015,\N,91,5359.0,false,"nm0571326,nm1829811,nm4311297",
7912,tt3032074,Báchélớr,,2004,\N,148,1086.0,true,nm2741956,
7916,tt3034258,Meu Passado Me Condena: O Filme,Meu Passado Me Condena: O Filme,2013,\N,102,2247.0,false,"nm3086612,nm2365786,nm0508190,nm6047221,nm1167049",
7947,tt3094816,Diet of Sex,,2014,\N,72,,false,"nm1669749,nm2014947",
7949,tt3100678,House of Manson,,2014,\N,98,3105.0,false,nm1761677,
7955,tt3107246,Irandam Ulagam,Irandam Ulagam,2013,\N,158,1259.0,false,nm1421754,
7972,tt3140100,Department Q: The Absent One,,2014,\N,119,22461.0,true,"nm1064048,nm1065452,nm0647695,nm1031708",
7973,tt3141912,Gun Woman,Gun Woman,2014,\N,86,3180.0,false,"nm1562288,nm1690906",
7978,tt3148952,The Circle,Der Kreis,\N,2014,102,1565.0,true,"nm0369442,nm2789152,nm2319441,nm2497348",
7980,tt3152098,Mega Shark vs. Mecha Shark,Mega Shark vs. Mecha Shark,2014,\N,85,3152.0,false,"nm4437450,nm0695977",
7982,tt3155242,Pártisán,Partisan,2015,\N,94,,false,"nm3510385,nm3516481",
7994,tt3182596,Factory Girl,Fatat el masnaa,2013,\N,90,1367.0,true,nm1761114,
8014,tt3219268,Idharkuthane Aasaipattai Balakumara,,\N,2013,136,1778.0,true,"nm4403137,nm4157919",
8022,tt3244446,Blééding Héárt,,2015,\N,80,2082.0,false,nm3643727,
8028,tt3259178,Free Fall,,2014,\N,90,2007.0,false,nm0808051,
8044,tt3289080,Asylum of Fear,Asylum of Fear,2018,\N,79,6360.0,false,"nm3168346,nm6042752,nm3167473",
8051,tt3301196,Neverlake,Neverlake,2013,\N,86,2284.0,false,"nm1132006,nm6055360",
8061,tt3320542,Ugramm,,2014,\N,132,5721.0,true,nm6073824,
8067,tt3334418,Living Among Us,Living Among Us,\N,2018,87,2744.0,false,nm1305849,
8105,tt3424690,Havenhurst,Havenhurst,2016,\N,85,,false,"nm0259428,nm0268107",
8106,tt3426262,Pannaiyarum Padminiyum,Pannaiyarum Padminiyum,2014,\N,151,1657.0,true,nm6176498,
8122,tt3469918,Jack,,2014,\N,103,1179.0,true,"nm0074163,nm0611126",
8128,tt3478962,My King,Mon roi,2015,\N,124,12363.0,true,"nm0173541,nm0494069",
8132,tt3486080,Lancaster Skies,,2019,\N,98,,false,"nm4987548,nm5098915,nm4957841",
8134,tt3487610,Malevolence 3: Killer,,2018,\N,89,2506.0,false,nm1496042,
8135,tt3487994,Bloodsucking Bastards,Bloodsucking Bastards,2015,\N,86,5876.0,false,"nm1216185,nm2369675,nm3051028,nm0640031,nm1234853",
8136,tt3488056,10.0 Earthquake,,2014,\N,88,2156.0,false,"nm6836170,nm1899619,nm1085933",
8142,tt3496372,Thé Intrúdérs,,2015,\N,92,3092.0,false,nm4812740,
8144,tt3499048,Gueros,Güeros,2014,\N,106,3907.0,true,"nm2091911,nm2157916,nm3998715",
8150,tt3503840,Absolution,Absolution,2015,\N,96,3362.0,false,"nm0064174,nm0915394",
8154,tt3510372,Éxcúsé My Frénch,Excuse My French,2014,\N,99,4300.0,true,"nm13050140,nm1782844",
8163,tt3521192,Crimean,,2014,\N,114,1266.0,true,"nm6277248,nm4734893,nm4735990",
8172,tt3538766,Messi,Messi,2014,\N,93,3850.0,true,"nm2277208,nm1422783",
8185,tt3557406,Don't Grow Up,Don't Grow Up,\N,2015,81,1168.0,false,nm1136191,
8260,tt3707104,Miné,,2016,\N,106,16979.0,false,"nm1764586,nm1760853",
8262,tt3711164,Sathuranga Vettai,,2014,\N,145,3041.0,true,\N,
8277,tt3733778,Pay the Ghost,Pay the Ghost,2015,\N,94,16931.0,false,"nm2423304,nm0443024",
8281,tt3735554,Freetown,,2015,\N,113,1255.0,false,"nm3986026,nm1271233",
8285,tt3742378,The Second Mother,,\N,2015,112,14245.0,true,nm1155957,
8290,tt3748440,Blúé Mớúntáin Státé: Thé Risé ớf Thádlánd,Blue Mountain State: The Rise of Thadland,2016,\N,90,15337.0,false,"nm2342762,nm2361892,nm2024927",
8293,tt3752930,Déárést,,2014,\N,128,,true,nm3369882,
8298,tt3774802,Pandemic,Pandemic,2016,\N,91,9197.0,false,nm3986004,
8301,tt3781616,Checkmate,,2015,\N,102,1327.0,false,"nm6548497,nm6548498,nm6548496",
8307,tt3801252,Ná Málớớm Áfráád,Na Maloom Afraad,2014,\N,137,4012.0,true,"nm6567545,nm6567539",
8310,tt3810932,Drushyam,,2014,\N,150,4073.0,true,"nm2572228,nm0664085,nm0664084,nm6579579",
8319,tt3822388,Madras,Madras,2014,\N,156,4116.0,true,nm3163794,
8338,tt3860294,Ogni maledetto Natale,Ogni maledetto Natale,2014,\N,95,1108.0,false,"nm0161904,nm1399392,nm0892979",
8348,tt3894344,Sivas,Sivas,\N,2014,97,3263.0,true,nm4340623,
8372,tt3961964,Raining Hell,Tar Pit,2015,\N,85,3808.0,true,"nm6708783,nm0397875,nm0409079",
8403,tt4028134,Lake Fear,,2014,\N,89,2028.0,false,nm5427808,
8426,tt4076058,Wé Áré Yớúng. Wé Áré Strớng.,,2014,\N,123,,true,"nm2935195,nm2546059",
8436,tt4086018,Charming,Charming,2018,\N,85,3331.0,false,nm1093728,
8443,tt4116284,The Lego Batman Movie,The Lego Batman Movie,2017,\N,104,139797.0,true,"nm0334381,nm0571344,nm1273099,nm2972864,nm4465847,nm0004170,nm0277730,nm0796950,nm0795975,nm0551376,nm9204083,nm9204084,nm9204085,nm4243936",
8448,tt4126568,Open Water 3: Cage Dive,Open Water 3: Cage Dive,2017,\N,80,4309.0,false,"nm4726966,nm7072248",
8464,tt4158594,Boar,Boar,2017,\N,96,3122.0,false,"nm9011507,nm4285728",
8472,tt4176556,Twớ Friénds,Les deux amis,2015,\N,100,1796.0,false,"nm0308039,nm0393394",
8491,tt4209788,Molly's Game,Molly's Game,2017,\N,140,158727.0,true,"nm0815070,nm6591098",
8492,tt4217392,Kung Fu Yoga,,2017,\N,107,9800.0,false,nm0867262,
8507,tt4269118,Seven in Heaven,Seven in Heaven,2018,\N,94,2642.0,false,nm0001177,
8511,tt4281724,Terrifier,,2016,\N,82,16742.0,false,nm2093171,
8517,tt4295992,Seni Seviyorum Adamim,,2014,\N,\N,1022.0,false,"nm2364318,nm1699819,nm1761101",
8518,tt4297380,Theresa & Allison,,2019,\N,120,1995.0,false,nm5988492,
8524,tt4307692,Traumfrauen,,2015,\N,109,2437.0,false,nm2873754,
8528,tt4316236,The Black Panthers: Vanguard of the Revolution,,2015,\N,115,,true,nm0625747,
8529,tt4323370,Survivors Guide To Prison,Survivors Guide to Prison,2018,\N,102,1135.0,true,nm2288785,
8552,tt4375438,The Club,El club,2015,\N,98,10728.0,true,"nm5979724,nm1883257,nm7076461",
8577,tt4435082,Running Wild,Running Wild,2017,\N,99,1373.0,false,"nm0601041,nm0748861",
8593,tt4476736,Hámlét,,2015,\N,217,2110.0,true,nm0000636,
8603,tt4510398,4Got10,4Got10,2015,\N,84,2192.0,false,nm3741595,
8620,tt4559006,Ae Dil Hai Mushkil,Ae Dil Hai Mushkil,2016,\N,158,22504.0,false,"nm0424103,nm1145539",
8626,tt4575576,Christopher Robin,,2018,\N,104,74017.0,true,"nm0590316,nm0791615,nm3504405,nm0565336,nm2284377,nm0111769,nm0425756",
8639,tt4621256,South Bureau Homicide,South Bureau Homicide,\N,2016,78,1974.0,true,"nm0122195,nm6116479",
8662,tt4686108,Love Beats Rhymes,Love Beats Rhymes,2017,\N,106,1035.0,false,nm1777773,
8663,tt4686862,Almost Adults,,2016,\N,90,2906.0,false,nm6559399,
8668,tt4705740,Ghosts of Darkness,,2017,\N,82,1873.0,false,nm3515157,
8675,tt4729430,Klaus,Klaus,2019,\N,96,125968.0,true,"nm0655053,nm2700235,nm2082813",
8698,tt4791276,Down River,,2018,\N,70,1973.0,false,"nm5403004,nm0755274",
8701,tt4797436,Jack Goes Home,,2016,\N,100,2311.0,false,nm0215281,
8718,tt4862506,Thé Hớlly Káné Éxpérimént,The Holly Kane Experiment,2017,\N,103,2194.0,false,nm3981016,
8720,tt4864624,Hớllớw in thé Lánd,,2017,\N,92,1773.0,false,nm1785988,
8728,tt4881578,Zappa,,2020,\N,129,2561.0,true,\N,
8752,tt4934950,Talvar,Talvar,2015,\N,132,33776.0,true,"nm0080235,nm2870301",
8758,tt4943992,Mántớ,,2015,\N,127,1161.0,true,nm3679226,
8760,tt4955566,Almost Friends,,2016,\N,101,4953.0,false,nm1667854,
8766,tt4971824,Very Big Shot,Film Kteer Kbeer,2015,\N,107,1377.0,true,"nm5073582,nm5474649",
8774,tt4991112,They Remain,They Remain,2018,\N,102,1363.0,false,"nm3664884,nm7624912",
8776,tt4994736,My Mother's Wound,,\N,2016,120,3477.0,true,"nm1560896,nm0349777,nm1727457,nm1115720,nm8184087,nm3635405",
8778,tt5004766,Birdboy: The Forgotten Children,,2015,\N,76,2429.0,true,"nm1038878,nm4180240",
8790,tt5046534,Felix Manalo,Felix Manalo,2015,\N,178,,true,nm7601024,
8793,tt5059406,I Am the Pretty Thing That Lives in the House,,2016,\N,89,14181.0,false,nm0674020,
8800,tt5073620,Below Her Mouth,Below Her Mouth,2016,\N,94,11654.0,false,nm7621163,
8825,tt5128266,10 Éndráthúkúllá,10 Endrathukulla,2015,\N,144,1321.0,false,nm1703877,
8828,tt5129682,King Cobra,King Cobra,2016,\N,91,8808.0,false,"nm0446539,nm8316217,nm8634455,nm7977497",
8833,tt5157030,Keeper of Darkness,Tor dei gui mou yan,2015,\N,105,1154.0,false,"nm0156533,nm0947813",
8840,tt5162658,Gold,Oro,2017,\N,103,1646.0,false,"nm0702416,nm0246503",
8849,tt5187886,Abracadabra,,2017,\N,96,2479.0,false,nm0074311,
8850,tt5189828,Mohawk,,2017,\N,91,1506.0,false,"nm0313295,nm1884371",
8861,tt5222918,The Other Side of Hope,Toivon tuolla puolen,2017,\N,100,11756.0,true,nm0442454,
8872,tt5255710,Sánám Téri Kásám,Sanam Teri Kasam,2016,\N,154,12268.0,true,"nm1840921,nm1066482",
8873,tt5258324,Atelophobia: Chapter 2,,2018,\N,75,1235.0,false,nm5619726,
8907,tt5338644,Mrs. Hyde,Madame Hyde,2017,\N,95,1461.0,false,"nm0102516,nm0740612,nm0829044",
8933,tt5458088,Kammatti Paadam,,2016,\N,177,4447.0,true,"nm1411869,nm1548005,nm8870020,nm5481625",
8937,tt5461944,Hớtél Múmbái,Hotel Mumbai,2018,\N,123,59475.0,true,"nm0171722,nm2285536",
8939,tt5464234,Kill Switch,,2017,\N,91,8492.0,false,"nm3224747,nm0634811",
8945,tt5473090,Swinging Safari,Swinging Safari,2018,\N,97,2423.0,false,nm0254632,
8949,tt5478478,Hostiles,Hostiles,\N,2017,134,79543.0,true,"nm0178376,nm0829329",
8951,tt5481984,Sinister Squad,Sinister Squad,\N,2016,90,1074.0,false,nm2877888,
8959,tt5505188,Ali Kundilli 2,Ali Kundilli 2,2016,\N,102,1009.0,false,"nm1147588,nm7351488",
8960,tt5510934,The Unnamed,Oggatonama,\N,2016,100,4848.0,true,nm2609716,
8966,tt5526028,Dớú Kyú Séi: Clássmátés,,2016,\N,60,,true,nm8750616,
8971,tt5539054,You Get Me,You Get Me,\N,2017,89,12566.0,false,nm1397787,
8979,tt5563324,Intrusion,,2021,\N,92,12047.0,false,nm2133655,
8996,tt5598292,Polaroid,Polaroid,2019,\N,88,13224.0,false,"nm1397455,nm2209002",
9017,tt5662550,Dead Trigger,Dead Trigger,2017,\N,91,1088.0,false,"nm5566894,nm0191242,nm0934698",
9023,tt5679554,Cớffin 2,Coffin 2,2017,\N,101,4558.0,false,nm0872564,
9024,tt5680626,30 Yéárs Ágớ,,2016,\N,145,1941.0,true,"nm13050140,nm1637154",
9046,tt5716280,Welcome the Stranger,Welcome the Stranger,2018,\N,94,2062.0,false,nm0446539,
9053,tt5723272,In the Fade,,2017,\N,106,31160.0,true,"nm0015359,nm0006737",
9055,tt5726086,Insidiớús: Thé Lást Kéy,,\N,2018,103,57356.0,false,nm1191481,
9085,tt5805252,Budhia Singh: Born to Run,,2016,\N,112,1462.0,true,nm8213254,
9089,tt5810122,Lét Hér Ớút,Let Her Out,2016,\N,89,1672.0,false,"nm2970236,nm2164964",
9124,tt5910350,Çalgi Çengi Ikimiz,Çalgi Çengi Ikimiz,2017,\N,116,4501.0,false,"nm3252853,nm5189244",
9131,tt5929654,Think Liké á Dớg,,2020,\N,91,1536.0,false,nm0432627,
9134,tt5940448,Bláck Créék,,2017,\N,80,1662.0,false,nm4781704,
9157,tt6002232,Custody,,2017,\N,93,8895.0,true,nm0499488,
9163,tt6043072,Untogether,Untogether,2018,\N,98,1494.0,false,nm1788301,
9177,tt6076366,Aandavan Kattalai,,2016,\N,151,2605.0,true,nm4359637,
9178,tt6081632,Marie-Francine,Marie-Francine,2017,\N,95,1153.0,false,"nm0369202,nm0501256",
9217,tt6197494,Malicious,,2018,\N,90,3744.0,false,nm1033667,
9220,tt6203570,Mountain,Mountain,2017,\N,74,3993.0,true,"nm5049657,nm2636350",
9222,tt6211580,"Thé Gớớd, thé Bád, thé Cớrny",Khoob Bad Jelf,2017,\N,105,2000.0,false,nm0702600,
9225,tt6214722,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,2018,\N,97,1204.0,true,nm0452772,
9226,tt6215044,Oceans Rising,,2017,\N,87,1821.0,false,nm0513771,
9255,tt6330052,Gáúgúin: Vớyágé tớ Táhiti,,2017,\N,102,2019.0,false,"nm1435120,nm0173541,nm1662707,nm5322646,nm1917169,nm0221613",
9282,tt6421110,Proud Mary,Proud Mary,2018,\N,89,9647.0,false,"nm1433517,nm1582836,nm0031078",
9301,tt6502956,Yúcátán,Yucatán,2018,\N,129,,false,"nm0346277,nm0600409",
9302,tt6506264,The Colony,Tides,\N,2021,104,4335.0,false,"nm2959497,nm3533590,nm1010075,nm2854538",
9306,tt6511932,The Beach Bum,The Beach Bum,\N,2019,95,20996.0,false,nm0005101,
9329,tt6593054,Drive,,2019,\N,147,7374.0,false,nm1160374,
9330,tt6598072,The Ranger,,\N,2018,77,2166.0,false,"nm7759821,nm3525861",
9350,tt6673840,Spacewalk,Vremya pervykh,2017,\N,137,7009.0,true,"nm1506266,nm0466614,nm0688239",
9367,tt6752848,Bớmbshéll: Thé Hédy Lámárr Stớry,Bombshell: The Hedy Lamarr Story,2017,\N,88,3587.0,true,nm2645944,
9382,tt6824530,United Nation Three Decades of Drum & Bass,,2020,\N,92,2290.0,true,\N,
9386,tt6834916,Legacy of Lies,Legacy of Lies,2020,\N,101,3087.0,false,nm1561185,
9398,tt6857040,Thé Áppéáráncé,,\N,2018,111,1216.0,false,nm5323274,
9402,tt6872846,Scales,Sayyedat al-Bahr,2019,\N,74,,false,nm4962990,
9416,tt6972140,Blackmail,Blackmail,2018,\N,138,10224.0,true,"nm5151578,nm3865589",
9417,tt6974888,Driven to Dance,,\N,2018,98,,false,nm7923598,
9428,tt7038246,Brooklyn Love Stories,Bushwick Beats,2019,\N,84,1083.0,false,"nm2420520,nm5196858,nm1719084,nm3572939,nm6610794,nm4007200,nm3060183",
9434,tt7056732,Midnight Runners,,\N,2017,109,6516.0,true,nm8460699,
9442,tt7089878,Liz and the Blue Bird,Rizu to aoi tori,2018,\N,90,1461.0,true,"nm7075214,nm1027089",
9451,tt7150512,2040,,\N,2019,92,1150.0,true,nm0303902,
9455,tt7180544,The Brawler,Mukkabaaz,2017,\N,154,7322.0,true,"nm10038869,nm0440604,nm1277547,nm9475104,nm3882793,nm5474389,nm8300759",
9468,tt7230750,The Velvet Underground,The Velvet Underground,2021,\N,121,2281.0,true,nm0001331,
9479,tt7262990,Deadcon,Deadcon,2019,\N,78,1227.0,false,nm3398282,
9485,tt7284204,Summer '03,,2018,\N,95,3193.0,false,nm4157561,
9522,tt7399138,Récép Ivédik 6,Recep Ivedik 6,2019,\N,110,6503.0,false,"nm2201881,nm2204103",
9523,tt7400974,Turned Out,,2018,\N,\N,2373.0,true,"nm3715507,nm2655915",
9546,tt7531040,Meyaadha Maan,,2017,\N,147,1012.0,true,nm7188712,
9557,tt7550952,Hürkus,,2018,\N,113,1087.0,false,"nm8250919,nm0754503",
9561,tt7579788,The Cropsey Incident,The Cropsey Incident,2017,\N,85,1388.0,false,nm0335489,
9564,tt7588752,The Problem with Apu,The Problem with Apu,2017,\N,49,2385.0,false,\N,
