column0,tconst,primaryTitle,originalTitle,startYear,endYear,runtimeMinutes,numVotes,writers,directors
2822,tt0107157,The Puppetmaster,Xi meng ren sheng,1993,\N,142,1821.0,"nm0160883,nm0508527,nm0943150",nm0396284
2870,tt0108394,Three Colors: Blue,,1993,\N,94,97583.0,"nm0001425,nm0682830,nm0002140,nm0954072,nm0005744",nm0001425
3157,tt0116707,Joe's Apartment,Joe's Apartment,1996,\N,80,13129.0,nm0668500,nm0668500
3203,tt0117615,Sháll Wé Dáncé?,Shall we dansu?,1996,\N,136,10925.0,nm0839397,nm0839397
3289,tt0119560,No Looking Back,,1998,\N,96,2031.0,nm0122653,nm0122653
3365,tt0120878,The Velocity of Gary,,1998,\N,100,1792.0,nm0830224,nm0006959
3483,tt0143012,Zatoichi's Vengeance,Zatôichi no uta ga kikoeru,1966,\N,83,1090.0,"nm0793753,nm0847244",nm0849080
3534,tt0157016,I Stand Alone,,1998,\N,93,22678.0,nm0637615,nm0637615
3653,tt0181051,Tight Skin 4,,1991,\N,90,1496.0,"nm0667637,nm0667641,nm0957365",nm0957365
3942,tt0253619,Sahte Kabadayi,,1976,\N,77,5720.0,nm0836803,nm0047971
4190,tt0301992,Full Moon Party,,\N,2002,100,1533.0,nm0018636,nm0631590
4194,tt0303021,Second Name,,2002,\N,93,,"nm0132793,nm1093711,nm0687042",nm0687042
4275,tt0318040,Evil Breed: The Legend of Samhain,,2003,\N,78,1567.0,"nm0547109,nm0896714",nm0896714
4287,tt0322545,Berlin Blues,Herr Lehmann,\N,2003,105,7188.0,nm1210638,nm0369686
4303,tt0327056,Mystic River,,2003,\N,138,440995.0,"nm0001338,nm1212331",nm0000142
4336,tt0333388,Edifício Master,,2002,\N,110,,nm0184202,nm0184202
4549,tt0377556,"Goodbye, Dragon Inn",,2003,\N,82,4710.0,"nm5050094,nm0158857",nm0158857
4616,tt0386064,Tae Guk Gi: The Brotherhood of War,Taegukgi hwinalrimyeo,2004,\N,140,39068.0,"nm0258268,nm3719540,nm0437625,nm3719468",nm0437625
4722,tt0408017,Everything About Mustafa,,2004,\N,119,9334.0,nm1463981,nm1463981
4882,tt0435770,The Visitation,The Visitation,2006,\N,103,2668.0,"nm1285203,nm0323725",nm0378240
4888,tt0436854,Tulpan,Tulpan,2008,\N,100,3239.0,"nm0245361,nm0652541",nm0245361
4941,tt0449629,P,P,2005,\N,110,,"nm1880363,nm0819965",nm0819965
5063,tt0473697,Satanás,Satanás,2007,\N,95,1696.0,"nm1223381,nm1979407",nm1223381
5075,tt0475590,Scary Hair,Gabal,2005,\N,106,1265.0,"nm2943894,nm2943669,nm2008414",nm2008414
5121,tt0483131,Rajamanikyam,,2005,\N,126,2315.0,nm1525010,nm2057169
5341,tt0820117,We Are Not Angels 3: Rock & Roll Strike Back,A3 - Rock'n'Roll uzvraca udarac,\N,2006,86,2160.0,"nm0236729,nm0664575,nm0901286",nm0664575
5385,tt0843850,Finishing the Game,Finishing the Game: The Search for a New Bruce Lee,2007,\N,84,1842.0,"nm0224656,nm0510912",nm0510912
5593,tt1010445,Rich Kids,,2007,\N,90,1343.0,nm0070591,nm0070591
5595,tt10123970,Mother's Child,,2020,\N,127,1198.0,"nm1887791,nm9868437",nm7263882
5762,tt1078588,My Sistér's Kéépér,,2009,\N,109,91984.0,"nm0505230,nm0001024,nm0682030",nm0001024
5801,tt1093824,Éncớúntérs át thé Énd ớf thé Wớrld,Encounters at the End of the World,2007,\N,99,18172.0,nm0001348,nm0001348
5807,tt1095174,New in Town,,2009,\N,97,22789.0,"nm0709408,nm0184947",nm0255411
5853,tt11167818,Türkler Geliyor: Adaletin Kilici,,2019,\N,125,1073.0,"nm7061821,nm0257393,nm2110543","nm2753462,nm12260927"
5948,tt11486994,Incision,Incision,2020,\N,79,2005.0,nm2264428,nm1887247
5996,tt1165293,Playing,Jogo de Cena,2007,\N,100,1148.0,\N,nm0184202
6040,tt1185442,Kurbaan,Kurbaan,2009,\N,161,5029.0,"nm1028832,nm1145539,nm0424103,nm0440604,nm3154301",nm1028832
6069,tt11948256,Lift,,2021,\N,134,2795.0,nm11414458,nm11414458
6151,tt1241316,Dare,,2009,\N,100,4221.0,nm1660311,nm1270069
6200,tt1268987,Operation: Endgame,,2010,\N,87,10483.0,"nm0506094,nm3087441",nm3087552
6245,tt1289403,The Guernsey Literary and Potato Peel Pie Society,,2018,\N,124,42097.0,"nm0740400,nm0393495,nm0080120,nm3125462,nm3125143",nm0001565
6286,tt1311067,Hállớwéén II,Halloween II,2009,\N,105,,nm0957772,nm0957772
6368,tt13551614,Kuruthi,Kuruthi,2021,\N,122,4966.0,nm5133930,nm4145594
6465,tt1422122,Tales from the Golden Age,Amintiri din epoca de aur,2009,\N,155,5478.0,nm0612816,"nm0691223,nm2239634,nm0612816,nm2031842,nm0353093"
6518,tt1455151,My Áftérnớớns with Márgúéritté,La tête en friche,2010,\N,82,7138.0,"nm0065449,nm0196362,nm3527765",nm0065449
6609,tt1524134,Orcs!,Orcs!,2011,\N,78,1507.0,"nm1237224,nm1131306,nm1344786,nm1656923",nm10509441
6773,tt1623780,Thé Légénd ớf thé Titánic,,1999,\N,84,,"nm3657321,nm0180664,nm0672477,nm0750871","nm0180664,nm3850683"
6971,tt1776222,Kauwboy,Kauwboy,\N,2012,81,2264.0,"nm2673025,nm0479268",nm2673025
7070,tt1847731,Tomboy,,2011,\N,82,19800.0,nm1780037,nm1780037
7082,tt1857766,Games of Clouds & Rain,,2013,\N,86,1266.0,nm1561230,nm1561230
7099,tt1869425,Filly Brown,Filly Brown,2012,\N,80,1117.0,"nm0216459,nm0201524,nm1226077","nm0201524,nm0216459"
7220,tt2011276,Banshee Chapter,,2013,\N,87,9791.0,"nm4578266,nm5275900,nm0522454",nm4578266
7346,tt2153891,Métál Wárriớr,,2011,\N,100,,nm2223858,nm2223858
7440,tt2238837,Kadhalil Sodhappuvadhu Yeppadi,,2012,\N,127,1391.0,nm4897036,nm4897036
7544,tt2350496,The Lunchbox,The Lunchbox,2013,\N,104,53933.0,"nm3592235,nm3035236",nm3592235
7572,tt2370248,Short Term 12,,2013,\N,96,85709.0,nm2308774,nm2308774
7574,tt2372251,Dớwn á Dárk Háll,Down a Dark Hall,\N,2018,96,13763.0,"nm1492832,nm2133655,nm0242028",nm0181579
7650,tt2445568,Ớútláwéd,Outlawed,2018,\N,102,3013.0,"nm5143645,nm5315854","nm5315854,nm5143645"
7685,tt2505938,Good Ol' Freda,,2013,\N,86,1963.0,"nm5357937,nm1713913",nm1713913
7720,tt2572632,Vendetta,Vendetta,2013,\N,106,3925.0,nm3893748,nm3893748
7871,tt2933474,Súpérfást!,,2015,\N,99,9328.0,"nm0294997,nm0783536","nm0294997,nm0783536"
8013,tt3214248,All Relative,,2014,\N,85,1595.0,nm1339236,nm1339236
8034,tt3266724,Black Rose,Black Rose,2014,\N,83,2469.0,"nm0400194,nm0006438",nm1323785
8194,tt3565264,Thegidi,Thegidi,2014,\N,126,2671.0,nm6322451,nm6322451
8531,tt4323594,I'm No Longer Here,,2019,\N,112,7232.0,nm3305020,nm3305020
8666,tt4696502,No estamos solos,No estamos solos,2016,\N,76,,nm6583602,nm1942158
8721,tt4866448,Most Beautiful Island,Most Beautiful Island,2017,\N,80,3314.0,nm1626539,nm1626539
8841,tt5164184,In Dárknéss,,\N,2018,100,12911.0,"nm1396104,nm1754059",nm1396104
8847,tt5178964,Soldier's Lullaby,,2018,\N,120,1370.0,"nm0031342,nm3030564",nm0031342
8912,tt5354458,Conspiracy Theory,,2016,\N,79,1403.0,"nm6167715,nm6167716,nm6167717",nm6167715
9037,tt5698320,Euphoria,,2017,\N,104,4063.0,nm2272926,nm2272926
9070,tt5770430,Ozzy,Ozzy,2016,\N,90,2267.0,nm2704065,"nm3384529,nm4385418"
9244,tt6288694,Acts of Vengeance,,2017,\N,87,11615.0,nm1107639,nm0282708
9311,tt6525952,Enemy Within,Enemy Within,2019,\N,109,2008.0,nm5987038,nm5987038
9375,tt6776462,Á Mán ớf Intégrity,,2017,\N,113,1868.0,nm1488024,nm1488024
9413,tt6966044,Segfault,Segfault,2018,\N,90,1041.0,"nm1594404,nm6400115,nm1319795,nm1455198",nm1319795
9684,tt8081566,Vijay Superum Pournamiyum,Vijay Superum Pournamiyum,2019,\N,135,1379.0,nm7834624,nm7834624
9798,tt8655738,Eternal Code,,2019,\N,105,4783.0,nm6136445,nm6136445
9814,tt8747160,The Block Island Sound,The Block Island Sound,2020,\N,99,6881.0,"nm2830283,nm2830317","nm2830283,nm2830317"
9819,tt8769848,The Tomorrow Man,The Tomorrow Man,2019,\N,94,1677.0,nm3030009,nm3030009
9925,tt9316022,Struggle: The Life and Lost Art of Szukalski,,2018,\N,115,,"nm3530955,nm2333129",nm2333129
9950,tt9519642,The Wedding Unplanner,,2020,\N,110,,"nm5160999,nm3374735,nm1807891,nm3372724",nm1738082
23,tt0015016,The Iron Horse,,1924,\N,150,2136.0,"nm0448981,nm0751246,nm0201544",nm0000406
103,tt0023241,Movie Crazy,,1932,\N,84,,"nm0493071,nm0426515,nm0340599,nm0012148,nm0124290,nm0516001","nm0115669,nm0516001"
229,tt0031359,Gáslight,,1940,\N,84,4265.0,"nm0358096,nm0712653,nm0092658",nm0225555
238,tt0031619,The Man in the Iron Mask,The Man in the Iron Mask,1939,\N,113,1662.0,"nm0241416,nm0115482",nm0001843
361,tt0036891,Hail the Conquering Hero,Hail the Conquering Hero,1944,\N,101,4612.0,nm0002545,nm0002545
381,tt0037558,Brief Encounter,,1945,\N,86,38545.0,"nm0002021,nm0369743,nm0000180,nm0623768",nm0000180
386,tt0037638,Detour,Detour,1945,\N,68,16724.0,"nm0326107,nm0600755",nm0880618
440,tt0039666,Nora Prentiss,,1947,\N,111,1672.0,"nm0621783,nm0916987,nm0811770",nm0792605
498,tt0041859,The Set-Up,The Set-Up,1949,\N,73,8575.0,"nm0169883,nm0545309",nm0936404
668,tt0048956,Aparajito,,1956,\N,110,13304.0,"nm0051808,nm0006249,nm5581192",nm0006249
708,tt0050201,Blood of Dracula,,1957,\N,69,1263.0,nm0437189,nm0834744
712,tt0050347,Edge of the City,,1957,\N,85,2976.0,nm0015899,nm0728688
734,tt0051020,The Strange World of Planet X,,1958,\N,75,1135.0,"nm0753132,nm0712970",nm0348175
756,tt0051927,We Only Live Once,,1958,\N,111,1616.0,nm0419485,nm0419485
953,tt0056405,Reptilicus,Reptilicus,1961,\N,92,3910.0,"nm0684335,nm0577477","nm0684335,nm0051926"
1094,tt0060401,Pharaoh,Faraon,\N,1966,180,1881.0,"nm0699277,nm0465461,nm0442819",nm0442819
1110,tt0060782,One Million Years B.C.,One Million Years B.C.,1966,\N,100,8278.0,"nm0140257,nm0636793,nm1025909,nm0294837",nm0149548
1219,tt0063477,The Queen,,\N,1968,68,1079.0,\N,nm0800140
1303,tt0066109,The Music Lovers,The Music Lovers,1971,\N,123,2555.0,"nm0103905,nm0100810,nm0902685",nm0001692
1476,tt0070291,The Last of Sheila,The Last of Sheila,1973,\N,120,6068.0,"nm0814227,nm0000578",nm0006889
1698,tt0077280,The Buddy Holly Story,The Buddy Holly Story,1978,\N,114,8768.0,"nm0842905,nm0325981,nm2021948",nm0711114
1856,tt0082406,The Fox and the Hound,The Fox and the Hound,\N,1981,83,89382.0,"nm0543438,nm0166307,nm0075859,nm0585150,nm0949954,nm0560329,nm0401362,nm0470928,nm0314788","nm0075859,nm0723704,nm0828245,nm0359457,nm0718627"
1900,tt0083193,This Is Elvis,This Is Elvis,1981,\N,101,1272.0,"nm0502422,nm0813583","nm0502422,nm0813583"
2041,tt0086264,Screwballs,Screwballs,1983,\N,82,,"nm0002893,nm0691061",nm0956205
2142,tt0088931,The Coca-Cola Kid,,\N,1985,98,3025.0,"nm0602103,nm0492721",nm0538445
2196,tt0090185,"A Time to Live, a Time to Die",Tóngnián wangshì,1985,\N,138,2840.0,"nm0160883,nm0396284,nm0943150",nm0396284
2510,tt0097733,Lethal Weapon 2,,\N,1989,114,169707.0,"nm0090151,nm0000948,nm0614775",nm0001149
2667,tt0102421,Mother,Mayrig,1991,\N,157,3407.0,nm0894577,nm0894577
2848,tt0107920,Raining Stones,,\N,1993,90,4430.0,nm0020653,nm0516360
3042,tt0113598,Lang leve de koningin,Lang leve de koningin,1995,\N,118,1149.0,nm0483575,nm0483575
3083,tt0114626,Tato,Tato,1995,\N,110,1499.0,nm0805751,nm0805751
3272,tt0119263,The River,,1997,\N,115,2904.0,"nm0158857,nm0874642,nm0946040",nm0158857
3346,tt0120701,Holy Man,,1998,\N,114,19791.0,nm0776114,nm0378893
3348,tt0120714,The Interview,The Interview,1998,\N,104,8341.0,"nm0597516,nm0203545",nm0597516
3463,tt0139820,The Red Angel,,1966,\N,95,1359.0,"nm0034840,nm0440383",nm0557945
3689,tt0188674,Húmán Tráffic,,1999,\N,99,24421.0,nm0449863,nm0449863
3719,tt0196857,Play It to the Bone,Play It to the Bone,1999,\N,124,,nm0005421,nm0005421
3853,tt0239096,The Humpbacked Horse,,1975,\N,73,1032.0,"nm1591054,nm0412108,nm3361802,nm0539820","nm2076790,nm0412108"
3871,tt0242423,"Dude, Where's My Car?","Dude, Where's My Car?",\N,2000,83,137825.0,nm0823255,nm0500444
3907,tt0248216,Na Tum Jaano Na Hum,Na Tum Jaano Na Hum,2002,\N,158,2833.0,"nm1144751,nm0754818",nm0754818
3916,tt0250122,Yeshwant,,1997,\N,145,1105.0,"nm1195250,nm1524147,nm1629116",nm1524147
4187,tt0301848,Slash,Slash,2002,\N,93,1580.0,"nm1181226,nm1100142",nm0839237
4188,tt0301893,State Property,State Property,2002,\N,88,2069.0,"nm0007925,nm0026694",nm0007925
4250,tt0314067,Philanthropy,,2002,\N,110,12905.0,nm0135952,nm0135952
4251,tt0314121,Mortadelo & Filemon: The Big Adventure,La gran aventura de Mortadelo y Filemón,2003,\N,107,3407.0,"nm0275250,nm0275248,nm0406619",nm0275250
4276,tt0318155,Looney Tunes: Back in Action,Looney Tunes: Back in Action,2003,\N,93,36305.0,nm0236421,"nm0325196,nm0001102"
4280,tt0319829,Masked and Anonymous,,2003,\N,112,4698.0,"nm0001168,nm0153078",nm0153078
4281,tt0319836,The Clay Bird,,2002,\N,95,3989.0,"nm1181880,nm1181881",nm1181881
4367,tt0339642,Daltry Calhoun,,2005,\N,100,2354.0,nm0111520,nm0111520
4409,tt0351238,Distant Lights,Lichter,2003,\N,105,1994.0,"nm0349654,nm0772691",nm0772691
4546,tt0376968,The Return,Vozvrashchenie,2003,\N,110,44549.0,"nm0596208,nm1436795",nm1168657
4572,tt0380349,The Corsican File,,2004,\N,92,3833.0,"nm0002010,nm0217033,nm1091004",nm0073322
4732,tt0409527,Shabd,Shabd,2005,\N,140,,"nm1399188,nm1636742",nm1636742
5173,tt0493076,Nina,,2016,\N,90,2804.0,nm0607725,nm0607725
5188,tt0494834,Silk,Silk,2007,\N,107,11284.0,"nm0054621,nm0320660,nm2124018",nm0320660
5258,tt0780567,Imagine That,Imagine That,2009,\N,107,14532.0,"nm0004412,nm0558533",nm0456732
5300,tt0805185,Blood Trails,,\N,2006,87,1597.0,"nm0470251,nm2251530,nm2919878",nm0470251
5340,tt0820111,Meatball Machine,,2005,\N,90,2036.0,"nm0945369,nm1156757,nm2310701,nm1992167","nm0945369,nm2310701"
5451,tt0896872,The Whistleblower,The Whistleblower,2010,\N,112,33088.0,"nm2326979,nm1672009",nm2326979
5477,tt0914863,Unthinkable,,2010,\N,97,86464.0,nm0940974,nm0429964
5696,tt1050160,Thé Máchiné Girl,,2008,\N,96,10082.0,nm1175724,nm1175724
5838,tt1107816,Giallo,,2009,\N,92,5494.0,"nm0013138,nm1396093,nm0000783",nm0000783
5873,tt11253090,Annaatthe,,2021,\N,163,8423.0,"nm2350892,nm11271081,nm10092404,nm10092405",nm2350892
6225,tt1283887,Burning Palms,,2010,\N,105,2846.0,nm0484907,nm0484907
6380,tt1365471,The Christmas Party,,2009,\N,86,1394.0,"nm1212019,nm1350587",nm1350587
6435,tt1401236,The Fields,,2011,\N,100,1785.0,nm2402050,"nm1698198,nm2213145"
6667,tt1564777,Fallen,Fallen,2016,\N,91,14353.0,"nm0743683,nm0696986,nm2106978,nm3729598",nm0382956
6836,tt1667150,Wo zhi nv ren xin,,2011,\N,116,1289.0,"nm0326092,nm0951135,nm0236884,nm0155201,nm3914804",nm0155201
6895,tt1713476,The Bay,The Bay,2012,\N,84,26935.0,"nm4057720,nm0001469",nm0001469
6936,tt1737674,PressPausePlay,PressPausePlay,2011,\N,80,1500.0,\N,"nm3635631,nm3634130"
6943,tt1745672,Children of the Corn: Genesis,Children of the Corn: Genesis,2011,\N,80,3337.0,"nm0000175,nm0812373",nm0812373
6982,tt1784538,Miss Representation,Miss Representation,2011,\N,85,,"nm0040846,nm1256818,nm3171513,nm1321547,nm1308076",nm1308076
7021,tt1814642,Bad Hero,,2010,\N,73,2304.0,nm3346260,"nm3346260,nm4175587"
7043,tt1827578,The End of Love,The End of Love,2012,\N,89,1768.0,nm0916406,nm0916406
7090,tt1863201,Dark Circles,Dark Circles,2013,\N,87,4203.0,nm0815418,nm0815418
7096,tt1867091,The Reconstruction of William Zero,The Reconstruction of William Zero,2014,\N,98,1173.0,"nm0124112,nm2965744",nm0124112
7109,tt1883367,The Human Centipede III (Final Sequence),The Human Centipede III (Final Sequence),2015,\N,102,16107.0,nm1519353,nm1519353
7126,tt1907731,Nớbớdy Wálks,Nobody Walks,2012,\N,83,4939.0,"nm2501633,nm1735543",nm1735543
7193,tt1980986,Hớúséfúll 2,Housefull 2,2012,\N,145,14160.0,"nm1571874,nm1349318,nm0618898,nm2678319,nm2260872",nm1349318
7328,tt2124908,Shut Up and Play the Hits,Shut Up and Play the Hits,2012,\N,108,2753.0,\N,"nm3756719,nm3745191"
7387,tt2191082,Á Prớmisé,A Promise,2013,\N,98,4101.0,"nm0496312,nm0867374,nm0959003",nm0496312
7476,tt2279786,Johan Falk: Kodnamn - Lisa,,2012,\N,106,3125.0,"nm0424092,nm0632152,nm0361437",nm0104851
7491,tt2297031,TiméScápés,TimeScapes,2012,\N,52,1196.0,\N,nm2233588
7639,tt2420166,The World Made Straight,,2015,\N,119,1929.0,"nm3047390,nm1519933",nm0120468
7855,tt2905838,Bang Bang,,2014,\N,153,23177.0,"nm1223910,nm1330994,nm0642277,nm1063072",nm1893457
7889,tt2969656,Cold Eyes,,\N,2013,119,7352.0,"nm1104594,nm1181534,nm0946883","nm2303963,nm1181534"
7948,tt3098306,French Women,,2014,\N,116,,"nm0199047,nm1909070,nm0221613,nm4439287",nm0199047
7977,tt3148552,Convergence,Convergence,2017,\N,100,1010.0,nm0355527,nm0355527
8046,tt3291148,Just Jim,,2015,\N,84,1821.0,nm1064292,nm1064292
8111,tt3442990,Lila & Eve,Lila & Eve,2015,\N,94,8344.0,nm2416916,nm0831690
8261,tt3707114,Janis: Little Girl Blue,,2015,\N,103,5296.0,nm1332844,nm1332844
8402,tt4026034,Hired Gun,Hired Gun,2016,\N,98,1951.0,"nm1872054,nm3513495",nm3513495
8558,tt4392454,13 Cameras,,2015,\N,87,5242.0,nm7082397,nm7082397
8649,tt4647900,I Am Bolt,I Am Bolt,2016,\N,107,3358.0,\N,"nm2564978,nm2543162"
8704,tt4814290,Te3n,,2016,\N,136,12671.0,"nm1847867,nm5721489,nm1330994,nm1937760",nm4138262
8827,tt5128826,The Alchemist Cookbook,,2016,\N,82,1473.0,nm1811127,nm1811127
8856,tt5213534,Oasis: Supersonic,,2016,\N,122,11176.0,\N,nm1475971
9276,tt6388082,My Annoying Brother,Hyeong,2016,\N,110,3060.0,nm7440024,nm8684196
9309,tt6516314,Piércing,,2018,\N,81,7235.0,"nm0613487,nm2073372",nm2073372
9421,tt6999052,Mario,Mario,2018,\N,124,3933.0,"nm0381529,nm0321112,nm0605431,nm0839560,nm1672138",nm0321112
9449,tt7149066,Thé Sớnátá,,2018,\N,90,1232.0,"nm3536350,nm3574037",nm3536350
9542,tt7526338,Damat Takimi,Damat Takimi,\N,2017,109,,nm5662493,nm5662493
9636,tt7919680,Karwaan,,2018,\N,114,14890.0,"nm2349060,nm2410557,nm1872089,nm4990507",nm2410557
9727,tt8302382,Kráck,Krack,2021,\N,154,,"nm3990580,nm7339980",nm3990580
9840,tt8902990,Thé Sky Is Pink,The Sky Is Pink,2019,\N,143,8285.0,"nm1773569,nm4962323,nm3721662",nm1773569
28,tt0015214,At 3:25,,\N,1925,59,1724.0,nm0163229,nm0163229
46,tt0017136,Metropolis,,1927,\N,153,168372.0,"nm0902376,nm0000485",nm0000485
67,tt0019074,"Laugh, Clown, Laugh","Laugh, Clown, Laugh",1928,\N,73,1934.0,"nm0067584,nm0193704,nm0267868,nm0576035",nm0107543
192,tt0028988,Heidi,Heidi,1937,\N,88,4406.0,"nm0819983,nm0274923,nm0430756",nm0245385
326,tt0035100,My Favorite Blonde,,1942,\N,78,,"nm0291035,nm0659085,nm0366942,nm0124918,nm0212700",nm0485647
331,tt0035279,Saboteur,Saboteur,1942,\N,109,24953.0,"nm0896830,nm0365661,nm0662213,nm0000033",nm0000033
388,tt0037865,Leave Her to Heaven,,1945,\N,110,12052.0,"nm0842485,nm0930082",nm0821472
735,tt0051036,Sweet Smell of Success,,1957,\N,96,30483.0,"nm0644048,nm0499626,nm0533241",nm0533241
844,tt0053935,Ice Cold in Alex,Ice Cold in Alex,1958,\N,130,5532.0,"nm0484906,nm0607322",nm0496746
857,tt0054152,Our Man in Havana,Our Man in Havana,1959,\N,103,5284.0,nm0001294,nm0715346
966,tt0056923,Charade,Charade,1963,\N,113,,"nm0832099,nm0066939",nm0002045
1286,tt0065591,Crimés ớf thé Fútúré,Crimes of the Future,1970,\N,63,1881.0,nm0000343,nm0000343
1308,tt0066279,Thé Ráilwáy Childrén,The Railway Children,1970,\N,109,4484.0,"nm0626334,nm0420383",nm0420383
1356,tt0067277,Johnny Got His Gun,Johnny Got His Gun,1971,\N,111,16431.0,"nm0874308,nm0000320",nm0874308
1475,tt0070246,Battles Without Honor and Humanity,,1973,\N,99,3635.0,"nm0407326,nm0440378",nm0297935
1737,tt0078481,Á Wédding,,1978,\N,125,3441.0,"nm0175912,nm0720334,nm0629454,nm0000265",nm0000265
1793,tt0080172,Heroes of the East,,1978,\N,105,2159.0,nm0393250,nm0514906
1963,tt0084694,The Slayer,,1982,\N,90,2480.0,"nm0136592,nm0263943",nm0136592
2051,tt0086420,"So Long, Stooge",Tchao pantin,1983,\N,100,2635.0,"nm0656098,nm0001945",nm0001945
2244,tt0091534,Modern Girls,,1986,\N,84,1464.0,"nm0185934,nm0742171",nm0469557
2426,tt0095454,The Kiss,The Kiss,1988,\N,101,1638.0,"nm0740568,nm0901446",nm0219720
2476,tt0097001,C.H.U.D. II: Bud the Chud,,\N,1989,84,3630.0,nm0619547,nm0410253
2735,tt0104694,A League of Their Own,A League of Their Own,1992,\N,128,100550.0,"nm0933718,nm0133676,nm0304665,nm0541632",nm0001508
2927,tt0110076,Hum Aapke Hain Koun..!,,1994,\N,206,20533.0,nm0054744,nm0054744
2968,tt0110932,Quiz Show,,1994,\N,133,,"nm0001921,nm0329544",nm0000602
3062,tt0113982,Night of the Scarecrow,Night of the Scarecrow,1995,\N,85,1205.0,"nm0825988,nm0563374",nm0123009
3122,tt0115822,Captain Conan,,1996,\N,129,2233.0,"nm0181924,nm0851724,nm0893712",nm0851724
3278,tt0119349,The Ice Storm,The Ice Storm,1997,\N,112,,"nm0600528,nm0770005",nm0000487
3352,tt0120737,The Lord of the Rings: The Fellowship of the Ring,,2001,\N,178,1750905.0,"nm0866058,nm0909638,nm0101991,nm0001392",nm0001392
3441,tt0135165,Bug Buster,,1998,\N,93,1028.0,nm0451903,nm0235387
3476,tt0141897,Terror,Terror,1978,\N,84,1410.0,"nm0569307,nm0949816,nm0949904",nm0912981
3563,tt0163984,"Blood, Guts, Bullets and Octane","Blood, Guts, Bullets and Octane",\N,1998,87,1107.0,nm0138620,nm0138620
3647,tt0180073,Quills,,2000,\N,124,53239.0,nm0942354,nm0442241
3733,tt0200768,Sword of the Beast,,1965,\N,85,,"nm0331471,nm0793048",nm0331471
4010,tt0265666,The Royal Tenenbaums,,2001,\N,110,280138.0,"nm0027572,nm0005562",nm0027572
4094,tt0282120,The Wild Thornberrys,,2002,\N,85,14543.0,"nm0458312,nm0190780,nm0672554,nm1134390,nm0839966,nm0100326","nm0539782,nm0569814"
4134,tt0289229,Hukkle,Hukkle,2002,\N,78,3666.0,nm0701650,nm0701650
4232,tt0309986,Paper Soldiers,Paper Soldiers,2002,\N,88,,"nm0003045,nm0201965,nm2641588,nm0614151,nm0717554","nm0201965,nm0199609"
4271,tt0317705,The Incredibles,,2004,\N,115,687778.0,nm0083348,nm0083348
4316,tt0328998,Dil Hái Túmháárá,Dil Hai Tumhaara,2002,\N,210,1834.0,"nm0764316,nm0787453,nm1242272",nm0787453
4326,tt0329794,A Cosmic Adventure on Earth,,2002,\N,80,1147.0,"nm0344761,nm1156790",nm0344761
4434,tt0358456,Earthlings,Earthlings,2005,\N,95,18712.0,nm0598671,nm0598671
4471,tt0365480,Marie and Bruce,,2004,\N,90,,"nm0001728,nm0129085",nm0129085
4487,tt0368400,Vááléé,Vaalee,1999,\N,158,3513.0,nm0754184,nm0754184
4569,tt0379730,Charlie: The Life and Art of Charles Chaplin,Charlie: The Life and Art of Charles Chaplin,2003,\N,132,1368.0,nm0771349,nm0771349
4751,tt0413893,Cha no aji,,\N,2004,143,,nm0411002,nm0411002
4833,tt0426155,Ushpizin,,\N,2004,90,2016.0,"nm8037952,nm0709493",nm0200886
5112,tt0480732,Shyamol Chhaya,,2004,\N,110,2084.0,nm0014152,nm0014152
5161,tt0490181,Mutant Chronicles,Mutant Chronicles,2008,\N,111,26161.0,nm0252155,nm0403038
5373,tt0839739,The Beales of Grey Gardens,The Beales of Grey Gardens,2006,\N,91,1169.0,\N,"nm0563099,nm0563100"
5398,tt0850677,Jack & Diane,,2012,\N,110,2850.0,nm0336486,nm0336486
5441,tt0889671,Trumbo,Trumbo,2007,\N,96,1150.0,nm0874307,nm0039468
5579,tt10006006,A Christmas Prince: The Royal Baby,,2019,\N,84,6204.0,"nm6912381,nm1405911",nm0776271
5580,tt10015286,The Ringmaster,,2019,\N,88,2622.0,"nm4568291,nm5455978,nm3835964,nm8704877","nm5455978,nm3835964"
5675,tt1039952,Citizen,Citizen,2001,\N,172,,\N,nm2668534
5870,tt11242218,Books of Blood,Books of Blood,2020,\N,107,6472.0,"nm0800048,nm0103804,nm0000850",nm0103804
5897,tt1131729,The Boat That Rocked,The Boat That Rocked,2009,\N,135,109704.0,nm0193485,nm0193485
5972,tt1156398,Zombieland,,2009,\N,88,548159.0,"nm1014201,nm1116660",nm0281508
6026,tt1178640,Beer for My Horses,Beer for My Horses,2008,\N,86,1799.0,"nm1625306,nm0445313",nm0758900
6061,tt1192628,Rango,,2011,\N,107,251495.0,"nm0517589,nm0893659,nm0126096",nm0893659
6112,tt1223980,Two Eyes Staring,,\N,2010,112,1361.0,"nm0834472,nm1451798",nm0834472
6177,tt12592252,Songbird,Songbird,\N,2020,84,8798.0,"nm0556573,nm1899220",nm0556573
6208,tt12747236,Do You Love Me As I Love You,Do You Love Me As I Love You,2020,\N,109,1262.0,\N,nm9522431
6580,tt15062890,Ja,Ja,2021,\N,105,1286.0,\N,nm12765197
6585,tt15094392,Happier Than Ever: A Love Letter to Los Angeles,Happier Than Ever: A Love Letter to Los Angeles,2021,\N,65,,\N,"nm0001675,nm2444148"
6591,tt1514041,4.3.2.1.,4.3.2.1.,2010,\N,117,10656.0,nm0164929,"nm0164929,nm1329894"
